Col1,Col2,Col3,Col4,Col5
7.332053330805471392e-01,2.609995684921281311e-01,3.743169535793638980e-01,1.849214228152140649e-02,2.448046717592000654e-01
5.219980430905544200e-01,7.922496293538109358e-01,6.382988002451062126e-01,6.499068908318805793e-01,2.657660139635531493e-01
1.102274451056231008e-01,6.149596788380773393e-02,3.123253359064759316e-01,7.698136918506677251e-01,4.955985645056890654e-01
5.697654776902972840e-01,6.025687361404854503e-01,9.770852664912408336e-01,9.116791446077798788e-03,5.649414860309998065e-02
5.529014879243313585e-01,9.091997535572474698e-01,9.093853279889059227e-01,2.459790981621252648e-01,8.634492683006692593e-01
2.193590098899522722e-03,6.015146983946018100e-02,1.994926311790261586e-01,9.293471646292482680e-01,9.379585248165417388e-01
5.624285968135783742e-01,6.993920354459939315e-01,7.283512603391679718e-01,5.014733283678696196e-01,3.062775525601357796e-02
9.117379800003319046e-01,6.743352248222233003e-01,7.289386545798393069e-01,1.178334470850984639e-01,4.591206652126411658e-01
5.052988801602769087e-01,3.482074393899613485e-01,7.341545222149705729e-01,7.407761288353256202e-01,9.242111164538059365e-01
3.467635422640935605e-01,6.435819437319647562e-01,1.033639665817964737e-01,6.570517252952217113e-01,6.855492114034035245e-01
